=== PARÂMETROS DE CLASSIFICAÇÃO ===,clf_max_depth,clf_min_samples_leaf,clf_criterion,clf_class_weight,clf_ccp_alpha,=== PARÂMETROS DE REGRESSÃO ===,reg_max_depth,reg_min_samples_leaf,reg_ccp_alpha,=== MÉTRICAS DE PERFORMANCE ===,rmse,r2_score,accuracy,tempo_treinamento
→,7,5,gini,balanced,"0,001",→,12,6,"0,001",→,"4,518622055","0,9250199165","0,8977777778","0,004785776138"
→,8,1,entropy,balanced,"0,001",→,12,6,"0,001",→,"4,518622055","0,9250199165","0,8933333333","0,006002902985"
→,7,5,gini,balanced,"0,001",→,9,4,"0,002",→,"4,697656713","0,9189605587","0,8977777778","0,004808187485"
→,8,1,entropy,balanced,"0,001",→,9,4,"0,002",→,"4,697656713","0,9189605587","0,8933333333","0,005413770676"
→,7,5,gini,balanced,"0,001",→,8,1,"0,001",→,"4,869759345","0,9129138917","0,8977777778","0,004874944687"
→,8,1,entropy,balanced,"0,001",→,8,1,"0,001",→,"4,869759345","0,9129138917","0,8933333333","0,005270004272"
→,7,5,gini,balanced,"0,001",→,8,2,"0,001",→,"4,911907086","0,9113999085","0,8977777778","0,004772901535"
→,8,1,entropy,balanced,"0,001",→,8,2,"0,001",→,"4,911907086","0,9113999085","0,8933333333","0,005376815796"
→,7,5,gini,balanced,"0,001",→,10,8,"0,002",→,"5,186510531","0,9012164994","0,8977777778","0,004901885986"
→,8,1,entropy,balanced,"0,001",→,10,8,"0,002",→,"5,186510531","0,9012164994","0,8933333333","0,005287885666"
→,7,5,gini,balanced,"0,001",→,7,1,"0,001",→,"5,24455893","0,8989929183","0,8977777778","0,004819869995"
→,8,1,entropy,balanced,"0,001",→,7,1,"0,001",→,"5,24455893","0,8989929183","0,8933333333","0,00515794754"
→,7,5,gini,balanced,"0,001",→,7,2,"0,001",→,"5,277757219","0,8977101125","0,8977777778","0,004601955414"
→,8,1,entropy,balanced,"0,001",→,7,2,"0,001",→,"5,277757219","0,8977101125","0,8933333333","0,004918813705"
→,7,5,gini,balanced,"0,001",→,7,5,"0,001",→,"5,383816591","0,893557664","0,8977777778","0,004818916321"
→,8,1,entropy,balanced,"0,001",→,7,5,"0,001",→,"5,383816591","0,893557664","0,8933333333","0,005120038986"
→,7,2,gini,balanced,"0,001",→,8,1,"0,001",→,"4,869759345","0,9129138917","0,8866666667","0,004781961441"
→,7,2,entropy,,"0,001",→,8,1,"0,001",→,"4,869759345","0,9129138917","0,8866666667","0,004895925522"
→,7,3,entropy,balanced,"0,001",→,9,4,"0,002",→,"4,697656713","0,9189605587","0,8822222222","0,005139827728"
→,7,1,entropy,balanced,"0,001",→,8,1,"0,001",→,"4,869759345","0,9129138917","0,8822222222","0,005305767059"
→,10,8,gini,,"0,002",→,12,6,"0,001",→,"4,518622055","0,9250199165","0,8755555556","0,004533052444"
→,5,10,entropy,,"0,005",→,12,6,"0,001",→,"4,518622055","0,9250199165","0,8311111111","0,004605054855"
→,6,2,entropy,balanced,"0,001",→,8,1,"0,001",→,"4,869759345","0,9129138917","0,84","0,005082130432"
→,7,2,entropy,balanced,"0,01",→,8,1,"0,001",→,"4,869759345","0,9129138917","0,8333333333","0,005213022232"
→,,15,gini,,"0,01",→,8,2,"0,001",→,"4,911907086","0,9113999085","0,8111111111","0,004505157471"