batch_size,epochs,layers_config,learning_rate,stopped_epoch,test_accuracy
8,200,"[64, 32, 16]","0,001",200,"0,94"
16,200,"[128, 64, 32]","0,005",200,"0,9393"
8,200,"[128, 64, 32]","0,0005",178,"0,9387"
16,200,"[128, 64, 32]","0,0005",200,"0,938"
64,200,"[128, 64, 32]","0,005",200,"0,9367"
64,200,"[64, 32, 16]","0,005",200,"0,9347"
32,200,"[128, 64, 32]","0,001",200,"0,9327"
32,100,"[128, 64, 32]","0,005",100,"0,9307"
8,200,"[128, 64, 32]","0,005",107,"0,9287"
64,100,"[128, 64, 32]","0,005",100,"0,9287"