timestamp,clf_n_trees,clf_max_depth,clf_min_samples_split,clf_min_samples_leaf,clf_n_features_per_tree,clf_random_state,clf_ccp_alpha,clf_criterion,clf_accuracy_validation,clf_accuracy_cv_mean,clf_accuracy_cv_std,reg_experiment_id,reg_n_trees,reg_max_depth,reg_min_samples_split,reg_min_samples_leaf,reg_n_features_per_tree,reg_random_state,reg_ccp_alpha,rmse_validation_reg,r2_score_validation_reg,mae_validation_reg,rmse_cv_mean_reg,training_time_clf_seconds,training_time_reg_seconds,total_experiment_time_seconds
5/24/25 22:01,10,7,5,1,all,42,"0,001",gini,"0,8767","0,8947","0,0228",reg_exp_12,20,9,4,1,all,42,"0,0008","3,2186","0,9609","2,1081","3,3637",N/A,N/A,N/A
5/24/25 22:15,10,7,5,1,all,42,"0,001",gini,"0,8767","0,8947","0,0228",reg_exp_3,200,N/A,3,1,all,77,"0,005","3,0273","0,9654","1,839","3,0267",N/A,N/A,N/A
5/24/25 22:18,10,5,2,1,sqrt,42,"0,01",gini,"0,7667","0,7967","0,0192",reg_exp_4,10,8,4,1,sqrt,42,"0,001","5,9121","0,8679","4,574","5,756",N/A,N/A,N/A
5/24/25 22:53,15,7,3,2,all,123,"0,002",gini,"0,9","0,9027","0,0258",reg_exp_3,200,N/A,3,1,all,77,"0,005","2,9056","0,9698","1,8068","3,0267",N/A,N/A,N/A
5/24/25 22:58,20,10,2,1,sqrt,42,"0,0005",gini,"0,85","0,902","0,0214",reg_exp_12,20,9,4,1,all,42,"0,0008","3,2186","0,9609","2,1081","3,3637",N/A,N/A,N/A
5/25/25 1:56,50,10,2,1,sqrt,42,"0,005",gini,"0,8767","0,9013","0,015",reg_exp_2,125,12,2,1,0,42,"0,005","4,4144","0,9264","3,3489","4,439",N/A,N/A,N/A
5/25/25 4:16,50,7,2,1,sqrt,42,"0,001",gini,"0,8533","0,872","0,0124",reg_exp_4,10,8,4,1,sqrt,42,"0,001","5,9121","0,8679","4,574","5,756",N/A,N/A,N/A
5/25/25 4:40,100,15,5,1,all,42,"0,005",gini,"0,8833","0,912","0,018",reg_exp_4,10,8,4,1,sqrt,42,"0,001","5,9121","0,8679","4,574","5,756",N/A,N/A,N/A
5/25/25 7:56,100,7,5,1,all,42,"0,001",gini,"0,8767","0,904","0,0211",reg_exp_4,10,8,4,1,sqrt,42,"0,001","5,9121","0,8679","4,574","5,756",N/A,N/A,N/A
5/25/25 8:40,150,20,2,1,sqrt,123,"0,005",gini,"0,91","0,906","0,0157",reg_exp_4,10,8,4,1,sqrt,42,"0,001","5,5635","0,8891","4,2387","5,756",N/A,N/A,N/A
5/25/25 8:44,150,20,2,1,sqrt,123,"0,005",gini,"0,91","0,906","0,0157",reg_exp_12,20,9,4,1,all,42,"0,0008","3,0392","0,9669","1,8964","3,3637",N/A,N/A,N/A
5/25/25 9:00,150,20,2,1,sqrt,123,"0,005",gini,"0,91","0,906","0,0157",reg_exp_2,125,12,2,1,0,42,"0,005","4,0252","0,942","3,119","4,439","13,67","11,59","183,63"
5/25/25 9:47,150,20,2,1,sqrt,123,"0,005",gini,"0,91","0,906","0,0157",reg_best_log_2.90rmse,200,N/A,3,1,all,77,"0,005","2,9056","0,9698","1,8068","3,0267","13,28","45,89","2297,27"
5/25/25 9:49,150,20,2,1,sqrt,123,"0,005",gini,"0,91","0,906","0,0157",reg_good_rmse_fast_3.03rmse,20,9,4,1,all,42,"0,0008","3,0392","0,9669","1,8964","3,3637","13,23","3,9","126,33"
5/25/25 9:55,150,20,2,1,sqrt,123,"0,005",gini,"0,91","0,906","0,0157",reg_medium_balanced,60,10,3,1,sqrt,77,"0,003","4,1618","0,9379","3,1918","4,6998","13,26","4,42","131,04"
5/25/25 10:02,15,7,3,2,all,123,"0,002",gini,"0,9","0,9027","0,0258",reg_best_log_2.90rmse,200,N/A,3,1,all,77,"0,005","2,9056","0,9698","1,8068","3,0267","3,31","45,81","368,47"
5/25/25 10:12,10,5,5,2,sqrt,42,"0,002",gini,"0,7667","0,7953","0,0241",reg_very_fast_explore,15,7,5,2,sqrt,42,"0,0015","5,9648","0,8656","4,7275","5,9562","0,62","0,82","10,53"
5/25/25 10:19,20,8,3,2,sqrt,123,"0,003",gini,"0,9133","0,8787","0,0195",reg_best_log_2.90rmse,200,N/A,3,1,all,77,"0,005","2,9056","0,9698","1,8068","3,0267","1,63","46,72","360,98"
5/25/25 10:28,30,10,3,2,sqrt,42,"0,004",gini,"0,86","0,902","0,025",reg_best_log_2.90rmse,200,N/A,3,1,all,77,"0,005","3,0273","0,9654","1,839","3,0267","2,56","46,36","368,35"